Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
113	Spectrogram 1	1	1074.0	1077.0	600	1400	C
114	Spectrogram 1	1	1075.5	1078.5	600	1400	C
115	Spectrogram 1	1	1078.5	1081.5	600	1400	C
116	Spectrogram 1	1	1081.5	1084.5	600	1400	C
117	Spectrogram 1	1	1087.5	1090.5	600	1400	C
118	Spectrogram 1	1	1089.0	1092.0	600	1400	C
119	Spectrogram 1	1	1095.0	1098.0	600	1400	C
120	Spectrogram 1	1	1096.5	1099.5	600	1400	C
121	Spectrogram 1	1	1098.0	1101.0	600	1400	C
122	Spectrogram 1	1	1099.5	1102.5	600	1400	C
123	Spectrogram 1	1	1107.0	1110.0	600	1400	C
124	Spectrogram 1	1	1108.5	1111.5	600	1400	C
125	Spectrogram 1	1	1117.5	1120.5	600	1400	C
126	Spectrogram 1	1	1125.0	1128.0	600	1400	C
127	Spectrogram 1	1	1134.0	1137.0	600	1400	C
128	Spectrogram 1	1	1143.0	1146.0	600	1400	C
129	Spectrogram 1	1	1146.0	1149.0	600	1400	C
130	Spectrogram 1	1	1150.5	1153.5	600	1400	C
131	Spectrogram 1	1	1158.0	1161.0	600	1400	C
132	Spectrogram 1	1	1165.5	1168.5	600	1400	C
133	Spectrogram 1	1	1168.5	1171.5	600	1400	C
134	Spectrogram 1	1	1170.0	1173.0	600	1400	C
135	Spectrogram 1	1	1171.5	1174.5	600	1400	C
136	Spectrogram 1	1	1173.0	1176.0	600	1400	C
137	Spectrogram 1	1	1174.5	1177.5	600	1400	C
138	Spectrogram 1	1	1177.5	1180.5	600	1400	C
139	Spectrogram 1	1	1180.5	1183.5	600	1400	C
140	Spectrogram 1	1	1182.0	1185.0	600	1400	C
141	Spectrogram 1	1	1183.5	1186.5	600	1400	C
142	Spectrogram 1	1	1188.0	1191.0	600	1400	C
143	Spectrogram 1	1	1189.5	1192.5	600	1400	C
144	Spectrogram 1	1	1191.0	1194.0	600	1400	C
145	Spectrogram 1	1	1194.0	1197.0	600	1400	C
146	Spectrogram 1	1	1197.0	1200.0	600	1400	C
147	Spectrogram 1	1	1198.5	1201.5	600	1400	C
148	Spectrogram 1	1	1200.0	1203.0	600	1400	C
149	Spectrogram 1	1	1201.5	1204.5	600	1400	C
150	Spectrogram 1	1	1203.0	1206.0	600	1400	C
151	Spectrogram 1	1	1206.0	1209.0	600	1400	C
152	Spectrogram 1	1	1207.5	1210.5	600	1400	C
153	Spectrogram 1	1	1209.0	1212.0	600	1400	C
154	Spectrogram 1	1	1210.5	1213.5	600	1400	C
155	Spectrogram 1	1	1212.0	1215.0	600	1400	C
156	Spectrogram 1	1	1215.0	1218.0	600	1400	C
157	Spectrogram 1	1	1219.5	1222.5	600	1400	C
158	Spectrogram 1	1	1221.0	1224.0	600	1400	C
159	Spectrogram 1	1	1224.0	1227.0	600	1400	C
160	Spectrogram 1	1	1227.0	1230.0	600	1400	C
161	Spectrogram 1	1	1237.5	1240.5	600	1400	C
162	Spectrogram 1	1	1243.5	1246.5	600	1400	C
163	Spectrogram 1	1	1245.0	1248.0	600	1400	C
164	Spectrogram 1	1	1251.0	1254.0	600	1400	C
165	Spectrogram 1	1	1252.5	1255.5	600	1400	C
166	Spectrogram 1	1	1257.0	1260.0	600	1400	C
167	Spectrogram 1	1	1264.5	1267.5	600	1400	C
168	Spectrogram 1	1	1267.5	1270.5	600	1400	C
169	Spectrogram 1	1	1269.0	1272.0	600	1400	C
170	Spectrogram 1	1	1276.5	1279.5	600	1400	C
171	Spectrogram 1	1	1278.0	1281.0	600	1400	C
172	Spectrogram 1	1	1282.5	1285.5	600	1400	C
173	Spectrogram 1	1	1284.0	1287.0	600	1400	C
174	Spectrogram 1	1	1288.5	1291.5	600	1400	C
175	Spectrogram 1	1	1290.0	1293.0	600	1400	C
176	Spectrogram 1	1	1293.0	1296.0	600	1400	C
177	Spectrogram 1	1	1294.5	1297.5	600	1400	C
178	Spectrogram 1	1	1297.5	1300.5	600	1400	C
179	Spectrogram 1	1	1299.0	1302.0	600	1400	C
180	Spectrogram 1	1	1300.5	1303.5	600	1400	C
181	Spectrogram 1	1	1302.0	1305.0	600	1400	C
182	Spectrogram 1	1	1305.0	1308.0	600	1400	C
183	Spectrogram 1	1	1306.5	1309.5	600	1400	C
184	Spectrogram 1	1	1308.0	1311.0	600	1400	C
185	Spectrogram 1	1	1309.5	1312.5	600	1400	C
186	Spectrogram 1	1	1311.0	1314.0	600	1400	C
187	Spectrogram 1	1	1314.0	1317.0	600	1400	C
188	Spectrogram 1	1	1315.5	1318.5	600	1400	C
189	Spectrogram 1	1	1317.0	1320.0	600	1400	C
190	Spectrogram 1	1	1318.5	1321.5	600	1400	C
191	Spectrogram 1	1	1321.5	1324.5	600	1400	C
192	Spectrogram 1	1	1324.5	1327.5	600	1400	C
193	Spectrogram 1	1	1326.0	1329.0	600	1400	C
194	Spectrogram 1	1	1330.5	1333.5	600	1400	C
195	Spectrogram 1	1	1338.0	1341.0	600	1400	C
196	Spectrogram 1	1	1339.5	1342.5	600	1400	C
197	Spectrogram 1	1	1341.0	1344.0	600	1400	C
198	Spectrogram 1	1	1342.5	1345.5	600	1400	C
199	Spectrogram 1	1	1344.0	1347.0	600	1400	C
200	Spectrogram 1	1	1345.5	1348.5	600	1400	C
201	Spectrogram 1	1	1347.0	1350.0	600	1400	C
202	Spectrogram 1	1	1348.5	1351.5	600	1400	C
203	Spectrogram 1	1	1350.0	1353.0	600	1400	C
204	Spectrogram 1	1	1353.0	1356.0	600	1400	C
205	Spectrogram 1	1	1354.5	1357.5	600	1400	C
206	Spectrogram 1	1	1357.5	1360.5	600	1400	C
207	Spectrogram 1	1	1359.0	1362.0	600	1400	C
208	Spectrogram 1	1	1360.5	1363.5	600	1400	C
209	Spectrogram 1	1	1365.0	1368.0	600	1400	C
210	Spectrogram 1	1	1368.0	1371.0	600	1400	C
211	Spectrogram 1	1	1398.0	1401.0	600	1400	C
212	Spectrogram 1	1	1402.5	1405.5	600	1400	C
213	Spectrogram 1	1	1404.0	1407.0	600	1400	C
214	Spectrogram 1	1	1422.0	1425.0	600	1400	C
215	Spectrogram 1	1	1431.0	1434.0	600	1400	C
216	Spectrogram 1	1	1432.5	1435.5	600	1400	C
217	Spectrogram 1	1	1440.0	1443.0	600	1400	C
218	Spectrogram 1	1	1441.5	1444.5	600	1400	C
219	Spectrogram 1	1	1446.0	1449.0	600	1400	C
220	Spectrogram 1	1	1447.5	1450.5	600	1400	C
221	Spectrogram 1	1	1449.0	1452.0	600	1400	C
222	Spectrogram 1	1	1450.5	1453.5	600	1400	C
223	Spectrogram 1	1	1452.0	1455.0	600	1400	C
224	Spectrogram 1	1	1453.5	1456.5	600	1400	C
225	Spectrogram 1	1	1455.0	1458.0	600	1400	C
226	Spectrogram 1	1	1458.0	1461.0	600	1400	C
227	Spectrogram 1	1	1461.0	1464.0	600	1400	C
228	Spectrogram 1	1	1462.5	1465.5	600	1400	C
229	Spectrogram 1	1	1465.5	1468.5	600	1400	C
230	Spectrogram 1	1	1467.0	1470.0	600	1400	C
231	Spectrogram 1	1	1468.5	1471.5	600	1400	C
232	Spectrogram 1	1	1470.0	1473.0	600	1400	C
233	Spectrogram 1	1	1471.5	1474.5	600	1400	C
234	Spectrogram 1	1	1473.0	1476.0	600	1400	C
235	Spectrogram 1	1	1477.5	1480.5	600	1400	C
236	Spectrogram 1	1	1479.0	1482.0	600	1400	C
237	Spectrogram 1	1	1482.0	1485.0	600	1400	C
238	Spectrogram 1	1	1488.0	1491.0	600	1400	C
239	Spectrogram 1	1	1509.0	1512.0	600	1400	C
240	Spectrogram 1	1	1510.5	1513.5	600	1400	C
241	Spectrogram 1	1	1512.0	1515.0	600	1400	C
242	Spectrogram 1	1	1513.5	1516.5	600	1400	C
243	Spectrogram 1	1	1534.5	1537.5	600	1400	C
244	Spectrogram 1	1	1551.0	1554.0	600	1400	C
245	Spectrogram 1	1	1558.5	1561.5	600	1400	C
246	Spectrogram 1	1	1563.0	1566.0	600	1400	C
247	Spectrogram 1	1	1578.0	1581.0	600	1400	C
248	Spectrogram 1	1	1588.5	1591.5	600	1400	C
249	Spectrogram 1	1	1612.5	1615.5	600	1400	C
250	Spectrogram 1	1	1689.0	1692.0	600	1400	C
251	Spectrogram 1	1	1699.5	1702.5	600	1400	C
252	Spectrogram 1	1	1705.5	1708.5	600	1400	C
253	Spectrogram 1	1	1770.0	1773.0	600	1400	C
254	Spectrogram 1	1	2080.5	2083.5	600	1400	C
255	Spectrogram 1	1	2197.5	2200.5	600	1400	C
256	Spectrogram 1	1	2239.5	2242.5	600	1400	C
257	Spectrogram 1	1	2262.0	2265.0	600	1400	C
258	Spectrogram 1	1	2446.5	2449.5	600	1400	C
259	Spectrogram 1	1	2496.0	2499.0	600	1400	C
260	Spectrogram 1	1	2631.0	2634.0	600	1400	C
