Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
109	Spectrogram 1	1	2139.0	2142.0	600	1400	C
110	Spectrogram 1	1	2149.5	2152.5	600	1400	C
111	Spectrogram 1	1	2151.0	2154.0	600	1400	C
112	Spectrogram 1	1	2166.0	2169.0	600	1400	C
113	Spectrogram 1	1	2176.5	2179.5	600	1400	C
114	Spectrogram 1	1	2181.0	2184.0	600	1400	C
115	Spectrogram 1	1	2182.5	2185.5	600	1400	C
116	Spectrogram 1	1	2184.0	2187.0	600	1400	C
117	Spectrogram 1	1	2185.5	2188.5	600	1400	C
118	Spectrogram 1	1	2187.0	2190.0	600	1400	C
119	Spectrogram 1	1	2188.5	2191.5	600	1400	C
120	Spectrogram 1	1	2190.0	2193.0	600	1400	C
121	Spectrogram 1	1	2191.5	2194.5	600	1400	C
122	Spectrogram 1	1	2193.0	2196.0	600	1400	C
123	Spectrogram 1	1	2194.5	2197.5	600	1400	C
124	Spectrogram 1	1	2196.0	2199.0	600	1400	C
125	Spectrogram 1	1	2197.5	2200.5	600	1400	C
126	Spectrogram 1	1	2200.5	2203.5	600	1400	C
127	Spectrogram 1	1	2202.0	2205.0	600	1400	C
128	Spectrogram 1	1	2203.5	2206.5	600	1400	C
129	Spectrogram 1	1	2205.0	2208.0	600	1400	C
130	Spectrogram 1	1	2208.0	2211.0	600	1400	C
131	Spectrogram 1	1	2209.5	2212.5	600	1400	C
132	Spectrogram 1	1	2211.0	2214.0	600	1400	C
133	Spectrogram 1	1	2212.5	2215.5	600	1400	C
134	Spectrogram 1	1	2214.0	2217.0	600	1400	C
135	Spectrogram 1	1	2215.5	2218.5	600	1400	C
136	Spectrogram 1	1	2226.0	2229.0	600	1400	C
137	Spectrogram 1	1	2230.5	2233.5	600	1400	C
138	Spectrogram 1	1	2232.0	2235.0	600	1400	C
139	Spectrogram 1	1	2233.5	2236.5	600	1400	C
140	Spectrogram 1	1	2236.5	2239.5	600	1400	C
141	Spectrogram 1	1	2238.0	2241.0	600	1400	C
142	Spectrogram 1	1	2241.0	2244.0	600	1400	C
143	Spectrogram 1	1	2242.5	2245.5	600	1400	C
144	Spectrogram 1	1	2244.0	2247.0	600	1400	C
145	Spectrogram 1	1	2245.5	2248.5	600	1400	C
146	Spectrogram 1	1	2248.5	2251.5	600	1400	C
147	Spectrogram 1	1	2251.5	2254.5	600	1400	C
148	Spectrogram 1	1	2254.5	2257.5	600	1400	C
149	Spectrogram 1	1	2259.0	2262.0	600	1400	C
150	Spectrogram 1	1	2260.5	2263.5	600	1400	C
151	Spectrogram 1	1	2274.0	2277.0	600	1400	C
152	Spectrogram 1	1	2281.5	2284.5	600	1400	C
153	Spectrogram 1	1	2359.5	2362.5	600	1400	C
154	Spectrogram 1	1	2386.5	2389.5	600	1400	C
155	Spectrogram 1	1	2397.0	2400.0	600	1400	C
156	Spectrogram 1	1	2398.5	2401.5	600	1400	C
157	Spectrogram 1	1	2422.5	2425.5	600	1400	C
158	Spectrogram 1	1	2430.0	2433.0	600	1400	C
159	Spectrogram 1	1	2431.5	2434.5	600	1400	C
160	Spectrogram 1	1	2439.0	2442.0	600	1400	C
161	Spectrogram 1	1	2440.5	2443.5	600	1400	C
162	Spectrogram 1	1	2448.0	2451.0	600	1400	C
163	Spectrogram 1	1	2452.5	2455.5	600	1400	C
164	Spectrogram 1	1	2454.0	2457.0	600	1400	C
165	Spectrogram 1	1	2463.0	2466.0	600	1400	C
166	Spectrogram 1	1	2466.0	2469.0	600	1400	C
167	Spectrogram 1	1	2482.5	2485.5	600	1400	C
168	Spectrogram 1	1	2512.5	2515.5	600	1400	C
169	Spectrogram 1	1	2514.0	2517.0	600	1400	C
170	Spectrogram 1	1	2517.0	2520.0	600	1400	C
171	Spectrogram 1	1	2518.5	2521.5	600	1400	C
172	Spectrogram 1	1	2526.0	2529.0	600	1400	C
173	Spectrogram 1	1	2535.0	2538.0	600	1400	C
174	Spectrogram 1	1	2602.5	2605.5	600	1400	C
175	Spectrogram 1	1	2724.0	2727.0	600	1400	C
176	Spectrogram 1	1	2733.0	2736.0	600	1400	C
177	Spectrogram 1	1	2745.0	2748.0	600	1400	C
178	Spectrogram 1	1	2748.0	2751.0	600	1400	C
179	Spectrogram 1	1	2749.5	2752.5	600	1400	C
180	Spectrogram 1	1	2751.0	2754.0	600	1400	C
181	Spectrogram 1	1	2755.5	2758.5	600	1400	C
182	Spectrogram 1	1	2781.0	2784.0	600	1400	C
183	Spectrogram 1	1	2782.5	2785.5	600	1400	C
184	Spectrogram 1	1	2799.0	2802.0	600	1400	C
185	Spectrogram 1	1	2800.5	2803.5	600	1400	C
186	Spectrogram 1	1	2802.0	2805.0	600	1400	C
187	Spectrogram 1	1	2803.5	2806.5	600	1400	C
188	Spectrogram 1	1	2805.0	2808.0	600	1400	C
189	Spectrogram 1	1	2806.5	2809.5	600	1400	C
190	Spectrogram 1	1	2811.0	2814.0	600	1400	C
191	Spectrogram 1	1	2812.5	2815.5	600	1400	C
192	Spectrogram 1	1	2814.0	2817.0	600	1400	C
193	Spectrogram 1	1	2820.0	2823.0	600	1400	C
194	Spectrogram 1	1	2827.5	2830.5	600	1400	C
195	Spectrogram 1	1	2832.0	2835.0	600	1400	C
196	Spectrogram 1	1	2833.5	2836.5	600	1400	C
197	Spectrogram 1	1	2845.5	2848.5	600	1400	C
198	Spectrogram 1	1	2857.5	2860.5	600	1400	C
199	Spectrogram 1	1	2869.5	2872.5	600	1400	C
200	Spectrogram 1	1	2899.5	2902.5	600	1400	C
201	Spectrogram 1	1	2901.0	2904.0	600	1400	C
202	Spectrogram 1	1	2940.0	2943.0	600	1400	C
203	Spectrogram 1	1	2941.5	2944.5	600	1400	C
204	Spectrogram 1	1	2944.5	2947.5	600	1400	C
205	Spectrogram 1	1	3013.5	3016.5	600	1400	C
206	Spectrogram 1	1	3016.5	3019.5	600	1400	C
207	Spectrogram 1	1	3018.0	3021.0	600	1400	C
208	Spectrogram 1	1	3021.0	3024.0	600	1400	C
209	Spectrogram 1	1	3024.0	3027.0	600	1400	C
210	Spectrogram 1	1	3027.0	3030.0	600	1400	C
211	Spectrogram 1	1	3028.5	3031.5	600	1400	C
212	Spectrogram 1	1	3030.0	3033.0	600	1400	C
213	Spectrogram 1	1	3031.5	3034.5	600	1400	C
214	Spectrogram 1	1	3046.5	3049.5	600	1400	C
215	Spectrogram 1	1	3058.5	3061.5	600	1400	C
216	Spectrogram 1	1	3060.0	3063.0	600	1400	C
217	Spectrogram 1	1	3061.5	3064.5	600	1400	C
218	Spectrogram 1	1	3063.0	3066.0	600	1400	C
219	Spectrogram 1	1	3066.0	3069.0	600	1400	C
220	Spectrogram 1	1	3067.5	3070.5	600	1400	C
221	Spectrogram 1	1	3069.0	3072.0	600	1400	C
222	Spectrogram 1	1	3072.0	3075.0	600	1400	C
223	Spectrogram 1	1	3115.5	3118.5	600	1400	C
224	Spectrogram 1	1	3117.0	3120.0	600	1400	C
225	Spectrogram 1	1	3124.5	3127.5	600	1400	C
226	Spectrogram 1	1	3127.5	3130.5	600	1400	C
227	Spectrogram 1	1	3132.0	3135.0	600	1400	C
228	Spectrogram 1	1	3133.5	3136.5	600	1400	C
229	Spectrogram 1	1	3136.5	3139.5	600	1400	C
230	Spectrogram 1	1	3138.0	3141.0	600	1400	C
231	Spectrogram 1	1	3139.5	3142.5	600	1400	C
232	Spectrogram 1	1	3141.0	3144.0	600	1400	C
233	Spectrogram 1	1	3144.0	3147.0	600	1400	C
234	Spectrogram 1	1	3145.5	3148.5	600	1400	C
235	Spectrogram 1	1	3166.5	3169.5	600	1400	C
